"Date","Price","Open","High","Low","Vol.","Change %"
"30/12/2022","1,869.00","1,897.00","1,902.00","1,860.00","0.07K","-1.48%"
"29/12/2022","1,897.00","1,909.00","1,909.00","1,862.00","0.17K","-0.63%"
"28/12/2022","1,909.00","1,947.00","1,953.00","1,905.00","0.65K","-2.55%"
"23/12/2022","1,959.00","1,954.00","1,969.00","1,945.00","0.63K","0.10%"
"22/12/2022","1,957.00","1,976.00","1,981.00","1,953.00","4.49K","-0.96%"
"21/12/2022","1,976.00","1,958.00","1,979.00","1,954.00","5.81K","1.02%"
"20/12/2022","1,956.00","1,949.00","1,960.00","1,938.00","4.28K","0.57%"
"19/12/2022","1,945.00","1,933.00","1,951.00","1,928.00","5.56K","0.62%"
"16/12/2022","1,933.00","1,941.00","1,952.00","1,929.00","3.11K","-0.67%"
"15/12/2022","1,946.00","1,909.00","1,953.00","1,886.00","6.50K","1.62%"
"14/12/2022","1,915.00","1,891.00","1,918.00","1,890.00","4.31K","1.22%"
"13/12/2022","1,892.00","1,902.00","1,909.00","1,883.00","5.27K","-0.58%"
"12/12/2022","1,903.00","1,884.00","1,917.00","1,880.00","5.38K","1.01%"
"09/12/2022","1,884.00","1,923.00","1,926.00","1,880.00","8.31K","-1.77%"
"08/12/2022","1,918.00","1,920.00","1,935.00","1,908.00","4.95K","0.00%"
"07/12/2022","1,918.00","1,920.00","1,934.00","1,912.00","6.20K","0.10%"
"06/12/2022","1,916.00","1,901.00","1,932.00","1,895.00","9.19K","0.90%"
"05/12/2022","1,899.00","1,883.00","1,906.00","1,883.00","5.35K","0.58%"
"02/12/2022","1,888.00","1,880.00","1,905.00","1,872.00","6.60K","-0.21%"
"01/12/2022","1,892.00","1,889.00","1,928.00","1,883.00","16.49K","0.26%"
"30/11/2022","1,887.00","1,862.00","1,889.00","1,859.00","10.25K","1.51%"
"29/11/2022","1,859.00","1,855.00","1,873.00","1,835.00","8.77K","0.22%"
"28/11/2022","1,855.00","1,857.00","1,868.00","1,843.00","6.06K","-0.11%"
"25/11/2022","1,857.00","1,842.00","1,869.00","1,837.00","7.31K","2.26%"
"24/11/2022","1,816.00","1,813.00","1,846.00","1,802.00","3.81K","0.00%"
"23/11/2022","1,816.00","1,869.00","1,869.00","1,868.00","0.05K","-2.37%"
"22/11/2022","1,860.00","1,817.00","1,839.00","1,816.00","7.30K","1.20%"
"21/11/2022","1,838.00","1,814.00","1,819.00","1,793.00","4.53K","0.60%"
"18/11/2022","1,827.00","1,847.00","1,847.00","1,847.00","0.00K","-0.38%"
"17/11/2022","1,834.00","1,780.00","1,828.00","1,769.00","10.17K","1.44%"
"16/11/2022","1,808.00","1,806.00","1,817.00","1,774.00","5.45K","-0.55%"
"15/11/2022","1,818.00","1,822.00","1,822.00","1,796.00","6.95K","-1.20%"
"14/11/2022","1,840.00","1,830.00","1,831.00","1,830.00","0.00K","-0.65%"
"11/11/2022","1,852.00","1,835.00","1,868.00","1,835.00","0.01K","0.05%"
"10/11/2022","1,851.00","1,845.00","1,845.00","1,838.00","0.01K","0.16%"
"09/11/2022","1,848.00","1,820.00","1,850.00","1,820.00","0.00K","-0.11%"
"08/11/2022","1,850.00","1,855.00","1,874.00","1,855.00","0.07K","-1.07%"
"07/11/2022","1,870.00","1,900.00","1,900.00","1,870.00","0.15K","-1.48%"
"04/11/2022","1,898.00","1,900.00","1,917.00","1,900.00","0.01K","1.12%"
"03/11/2022","1,877.00","1,908.00","1,908.00","1,865.00","0.08K","-2.04%"
"02/11/2022","1,916.00","1,870.00","1,920.00","1,870.00","0.01K","3.51%"
"01/11/2022","1,851.00","1,863.00","1,865.00","1,826.00","7.30K","-1.39%"
"31/10/2022","1,877.00","1,887.00","1,900.00","1,882.00","0.02K","0.32%"
"28/10/2022","1,871.00","1,900.00","1,910.00","1,882.00","0.04K","-1.94%"
"27/10/2022","1,908.00","1,906.00","1,926.00","1,903.00","0.10K","0.63%"
"26/10/2022","1,896.00","1,951.00","1,972.00","1,894.00","0.28K","-2.82%"
"25/10/2022","1,951.00","1,965.00","1,976.00","1,929.00","4.62K","-0.31%"
"24/10/2022","1,957.00","2,001.00","2,027.00","1,952.00","3.67K","-2.20%"
"21/10/2022","2,001.00","2,039.00","2,040.00","1,987.00","5.01K","-2.15%"
"20/10/2022","2,045.00","2,013.00","2,066.00","1,997.00","5.39K","1.64%"
"19/10/2022","2,012.00","2,055.00","2,055.00","1,977.00","4.85K","-2.19%"
"18/10/2022","2,057.00","2,066.00","2,077.00","2,051.00","4.68K","-0.34%"
"17/10/2022","2,064.00","2,067.00","2,075.00","2,046.00","6.79K","0.15%"
"14/10/2022","2,061.00","2,102.00","2,108.00","2,059.00","8.39K","-1.81%"
"13/10/2022","2,099.00","2,144.00","2,147.00","2,092.00","7.64K","-2.01%"
"12/10/2022","2,142.00","2,169.00","2,171.00","2,138.00","4.67K","-1.11%"
"11/10/2022","2,166.00","2,159.00","2,182.00","2,148.00","4.96K","0.37%"
"10/10/2022","2,158.00","2,155.00","2,161.00","2,140.00","6.40K","0.14%"
"07/10/2022","2,155.00","2,138.00","2,161.00","2,135.00","5.51K","0.70%"
"06/10/2022","2,140.00","2,165.00","2,179.00","2,134.00","9.09K","-1.52%"
"05/10/2022","2,173.00","2,170.00","2,183.00","2,158.00","6.34K","0.05%"
"04/10/2022","2,172.00","2,184.00","2,193.00","2,164.00","5.54K","-0.05%"
"03/10/2022","2,173.00","2,150.00","2,181.00","2,150.00","6.88K","0.93%"
"30/09/2022","2,153.00","2,174.00","2,179.00","2,151.00","7.33K","-1.33%"
"29/09/2022","2,182.00","2,208.00","2,213.00","2,174.00","5.43K","-1.18%"
"28/09/2022","2,208.00","2,175.00","2,216.00","2,159.00","8.48K","1.28%"
"27/09/2022","2,180.00","2,216.00","2,225.00","2,177.00","7.37K","-2.64%"
"26/09/2022","2,239.00","2,224.00","2,248.00","2,191.00","8.60K","0.00%"
"23/09/2022","2,239.00","2,233.00","2,233.00","2,233.00","0.00K","-0.04%"
"22/09/2022","2,240.00","2,187.00","2,238.00","2,187.00","0.02K","1.08%"
